Date,Open,High,Low,Close,Adj Close,Volume
2017-07-21,126.809998,126.989998,126.639999,126.949997,115.087502,1819500
2017-07-24,126.910004,127.059998,126.690002,126.959999,115.096596,4897700
2017-07-25,127.510002,127.570000,127.199997,127.379997,115.477325,1709400
2017-07-26,127.550003,127.599998,127.169998,127.290001,115.395775,1624400
2017-07-27,127.580002,127.580002,126.309998,127.070000,115.196320,1707800
2017-07-28,126.779999,126.959999,126.540001,126.860001,115.005928,1651800
2017-07-31,127.110001,127.180000,126.620003,126.790001,114.942474,1496600
2017-08-01,127.180000,127.209999,126.800003,127.050003,115.178200,1790600
2017-08-02,127.139999,127.139999,126.370003,126.930000,115.069397,2929400
2017-08-03,126.900002,126.910004,126.519997,126.639999,114.806488,2582500
2017-08-04,127.000000,127.070000,126.699997,126.910004,115.051247,972400
2017-08-07,127.059998,127.180000,126.879997,127.160004,115.277893,1114700
2017-08-08,127.050003,127.720001,126.610001,126.809998,114.960602,1360300
2017-08-09,126.349998,126.690002,126.169998,126.669998,114.833702,1679900
2017-08-10,126.139999,126.209999,124.800003,124.809998,113.147484,2455300
2017-08-11,124.940002,125.330002,124.800003,125.040001,113.356010,2039100
2017-08-14,125.800003,126.430000,125.610001,126.320000,114.516388,1467400
2017-08-15,126.610001,126.629997,126.080002,126.199997,114.407593,1523000
2017-08-16,126.500000,126.800003,126.230003,126.430000,114.616112,1379800
2017-08-17,126.089996,126.290001,124.419998,124.419998,112.793915,3440500
2017-08-18,124.480003,124.940002,123.949997,124.209999,112.603546,2836500
2017-08-21,124.220001,124.480003,123.790001,124.389999,112.766747,1627300
2017-08-22,124.730003,125.750000,124.559998,125.639999,113.899933,2089500
2017-08-23,125.070000,125.510002,125.019997,125.260002,113.555450,1268800
2017-08-24,125.500000,125.629997,124.940002,125.059998,113.374138,1381700
2017-08-25,125.419998,125.849998,125.239998,125.360001,113.646095,1158200
2017-08-28,125.660004,125.660004,125.110001,125.410004,113.691452,1787900
2017-08-29,124.589996,125.620003,124.519997,125.459999,113.736748,1312300
2017-08-30,125.459999,126.279999,125.379997,126.120003,114.335075,1730600
2017-08-31,126.459999,127.139999,126.459999,126.980003,115.114723,3384400
2017-09-01,127.230003,127.459999,127.120003,127.269997,115.377617,2122600
2017-09-05,126.919998,127.099998,125.690002,126.290001,114.489182,2319000
2017-09-06,126.690002,126.860001,126.320000,126.639999,114.806488,1449900
2017-09-07,126.959999,126.959999,126.320000,126.580002,114.752090,1218600
2017-09-08,126.349998,126.739998,126.269997,126.489998,114.670494,1206100
2017-09-11,127.150002,127.910004,127.150002,127.849998,115.903427,1346500
2017-09-12,128.039993,128.339996,128.000000,128.339996,116.347641,2264200
2017-09-13,128.229996,128.410004,128.119995,128.399994,116.402008,1692500
2017-09-14,128.229996,128.479996,128.070007,128.360001,116.365791,1493200
2017-09-15,128.309998,128.619995,128.199997,128.600006,116.583336,1531300
2017-09-18,128.850006,129.100006,128.690002,128.910004,116.864365,1792300
2017-09-19,129.059998,129.100006,128.850006,128.970001,116.918770,1241700
2017-09-20,129.100006,129.210007,128.600006,129.179993,117.109123,1729200
2017-09-21,129.119995,129.130005,128.720001,128.820007,116.782776,1730600
2017-09-22,128.139999,128.440002,127.989998,128.369995,116.876556,1601600
2017-09-25,128.240005,128.429993,127.690002,128.160004,116.685371,2186000
2017-09-26,128.350006,128.509995,128.110001,128.190002,116.712692,1851500
2017-09-27,128.839996,129.100006,128.169998,128.889999,117.350006,2374400
2017-09-28,128.820007,129.130005,128.660004,129.100006,117.541199,1484800
2017-09-29,129.020004,129.559998,129.009995,129.520004,117.923599,1720600
2017-10-02,129.639999,130.199997,129.550003,130.199997,118.542709,2678000
2017-10-03,130.309998,130.500000,130.130005,130.460007,118.779442,1825100
2017-10-04,130.449997,130.779999,130.300003,130.589996,118.897766,1495700
2017-10-05,130.729996,131.339996,130.720001,131.279999,119.526009,2387200
2017-10-06,131.059998,131.229996,130.910004,131.190002,119.444069,1635000
2017-10-09,131.300003,131.360001,130.759995,130.929993,119.207352,1012100
2017-10-10,131.250000,131.479996,130.940002,131.240005,119.489594,2915300
2017-10-11,131.240005,131.429993,131.100006,131.419998,119.653496,2012700
2017-10-12,131.160004,131.449997,131.119995,131.259995,119.507813,2171200
2017-10-13,131.550003,131.589996,131.279999,131.360001,119.598877,1543900
2017-10-16,131.500000,131.649994,131.270004,131.449997,119.680794,1789500
2017-10-17,131.500000,131.570007,131.339996,131.509995,119.735413,1340600
2017-10-18,131.800003,131.830002,131.570007,131.679993,119.890221,1470900
2017-10-19,131.250000,131.710007,130.940002,131.710007,119.917519,1942600
2017-10-20,132.070007,132.449997,132.070007,132.419998,120.563942,1751000
2017-10-23,132.630005,132.679993,131.789993,131.860001,120.054115,1755700
